Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
1,Stefon Diggs*+,BUF,27,WR,16,15,166,127,0.765,1535,12.1,8,73,55,9.2,7.9,95.9,0
2,Davante Adams*+,GNB,28,WR,14,14,149,115,0.772,1374,11.9,18,73,56,9.2,8.2,98.1,1
3,DeAndre Hopkins*,ARI,28,WR,16,16,160,115,0.719,1407,12.2,6,75,60,8.8,7.2,87.9,3
4,Darren Waller*,LVR,28,TE,16,15,145,107,0.738,1196,11.2,9,69,38,8.2,6.7,74.8,2
5,Travis Kelce*+,KAN,31,TE,15,15,145,105,0.724,1416,13.5,11,79,45,9.8,7,94.4,1
6,Allen Robinson,CHI,27,WR,16,16,151,102,0.675,1250,12.3,6,68,42,8.3,6.4,78.1,0
7,Keenan Allen*,LAC,28,WR,14,13,147,100,0.68,992,9.9,8,61,28,6.7,7.1,70.9,3
8,Tyler Lockett,SEA,28,WR,16,16,132,100,0.758,1054,10.5,10,57,47,8,6.3,65.9,1
9,JuJu Smith-Schuster,PIT,24,WR,16,14,128,97,0.758,831,8.6,9,48,31,6.5,6.1,51.9,3
10,Robby Anderson,CAR,27,WR,16,16,136,95,0.699,1096,11.5,3,49,75,8.1,5.9,68.5,1
11,Amari Cooper,DAL,26,WR,16,15,130,92,0.708,1114,12.1,5,54,69,8.6,5.8,69.6,0
12,Cooper Kupp,LAR,27,WR,15,12,124,92,0.742,974,10.6,3,44,55,7.9,6.1,64.9,1
13,Calvin Ridley,ATL,26,WR,15,15,143,90,0.629,1374,15.3,9,65,63,9.6,6,91.6,1
14,Robert Woods,LAR,28,WR,16,16,129,90,0.698,936,10.4,6,44,56,7.3,5.6,58.5,2
15,Justin Jefferson*,MIN,21,WR,16,14,125,88,0.704,1400,15.9,7,58,71,11.2,5.5,87.5,1
16,Diontae Johnson,PIT,24,WR,15,13,144,88,0.611,923,10.5,7,45,47,6.4,5.9,61.5,2
17,Tyreek Hill*+,KAN,26,WR,15,15,135,87,0.644,1276,14.7,15,57,75,9.5,5.8,85.1,1
18,Terry McLaurin,WAS,25,WR,15,15,134,87,0.649,1118,12.9,4,51,68,8.3,5.8,74.5,1
19,Alvin Kamara*,NOR,25,RB,15,10,107,83,0.776,756,9.1,5,35,52,7.1,5.5,50.4,1
20,D.K. Metcalf*,SEA,23,WR,16,16,129,83,0.643,1303,15.7,10,63,62,10.1,5.2,81.4,1
21,Cole Beasley,BUF,31,wr,15,10,107,82,0.766,967,11.8,4,53,35,9,5.5,64.5,0
22,Brandin Cooks,HOU,27,WR,15,15,119,81,0.681,1150,14.2,6,51,57,9.7,5.4,76.7,0
23,J.D. McKissic,WAS,27,rb,16,7,110,80,0.727,589,7.4,2,32,29,5.4,5,36.8,3
24,Tyler Boyd,CIN,26,wr,15,8,110,79,0.718,841,10.6,4,43,72,7.6,5.3,56.1,1
25,Curtis Samuel,CAR,24,WR,15,5,97,77,0.794,851,11.1,3,39,44,8.8,5.1,56.7,1
26,Marvin Jones,DET,30,WR,16,16,115,76,0.661,978,12.9,9,52,43,8.5,4.8,61.1,0
27,CeeDee Lamb,DAL,21,WR,16,14,111,74,0.667,935,12.6,5,46,52,8.4,4.6,58.4,2
28,Adam Thielen,MIN,30,WR,15,15,108,74,0.685,925,12.5,14,52,51,8.6,4.9,61.7,0
29,Russell Gage,ATL,24,wr,16,8,109,72,0.661,786,10.9,4,50,35,7.2,4.5,49.1,0
30,Jarvis Landry,CLE,28,WR,15,14,101,72,0.713,840,11.7,3,46,32,8.3,4.8,56,2
31,Logan Thomas,WAS,29,TE,16,15,110,72,0.655,670,9.3,6,36,30,6.1,4.5,41.9,0
32,A.J. Brown*,TEN,23,WR,14,12,106,70,0.66,1075,15.4,11,55,73,10.1,5,76.8,2
33,Mike Evans,TAM,27,WR,16,16,109,70,0.642,1006,14.4,13,55,50,9.2,4.4,62.9,0
34,Tee Higgins,CIN,21,WR,16,14,108,67,0.62,908,13.6,6,52,67,8.4,4.2,56.8,1
35,T.J. Hockenson*,DET,23,TE,16,16,101,67,0.663,723,10.8,6,40,51,7.2,4.2,45.2,1
36,D.J. Moore,CAR,23,WR,15,14,118,66,0.559,1193,18.1,4,53,74,10.1,4.4,79.5,0
37,Sterling Shepard,NYG,27,WR,12,12,90,66,0.733,656,9.9,3,37,29,7.3,5.5,54.7,0
38,Corey Davis,TEN,25,WR,14,12,92,65,0.707,984,15.1,5,49,75,10.7,4.6,70.3,1
39,Chris Godwin,TAM,24,WR,12,12,84,65,0.774,840,12.9,7,43,47,10,5.4,70,1
40,Evan Engram*,NYG,26,TE,16,14,109,63,0.578,654,10.4,1,29,53,6,3.9,40.9,1
41,Nyheim Hines,IND,24,,16,2,76,63,0.829,482,7.7,4,24,29,6.3,3.9,30.1,0
42,DeVante Parker,MIA,27,WR,14,11,103,63,0.612,793,12.6,4,45,31,7.7,4.5,56.6,1
